Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,AQI,Hour,Month
2004-03-13,1900-01-01 05:00:00,1.0,978.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,306.9548872180451,5,3
2004-03-13,1900-01-01 06:00:00,1.2,1100.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,305.4661654135338,6,3
2004-03-13,1900-01-01 07:00:00,1.5,1112.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,340.4511278195489,7,3
2004-03-13,1900-01-01 08:00:00,2.7,1336.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,407.94736842105266,8,3
2004-03-13,1900-01-01 09:00:00,3.7,1408.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,432.5112781954887,9,3
2004-03-13,1900-01-01 10:00:00,3.2,1447.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,405.21804511278197,10,3
2004-03-13,1900-01-01 11:00:00,4.1,1542.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,433.25563909774434,11,3
2004-03-13,1900-01-01 12:00:00,3.6,1451.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,408.1954887218045,12,3
2004-03-13,1900-01-01 13:00:00,2.8,1328.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,387.8421052631579,13,3
2004-03-13,1900-01-01 14:00:00,2.0,1207.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,360.05263157894734,14,3
2004-03-13,1900-01-01 15:00:00,2.0,1240.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,370.96992481203006,15,3
2004-03-13,1900-01-01 16:00:00,2.5,1306.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,376.42857142857144,16,3
2004-03-13,1900-01-01 17:00:00,2.3,1326.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,388.3383458646616,17,3
2004-03-13,1900-01-01 18:00:00,3.2,1473.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,433.0075187969925,18,3
2004-03-13,1900-01-01 19:00:00,4.2,1609.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,468.4887218045113,19,3
2004-03-13,1900-01-01 20:00:00,4.2,1611.0,19.2,1274.0,279.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786,466.7518796992481,20,3
2004-03-13,1900-01-01 21:00:00,4.2,1621.0,18.3,1247.0,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091,453.10526315789474,21,3
2004-03-13,1900-01-01 22:00:00,3.1,1444.0,13.1,1089.0,214.0,844.0,143.0,1748.0,1624.0,14.6,48.6,0.806,425.3157894736842,22,3
2004-03-13,1900-01-01 23:00:00,2.6,1418.0,10.9,1010.0,172.0,892.0,130.0,1603.0,1536.0,14.7,49.3,0.8193,388.5864661654135,23,3
2004-03-14,1900-01-01 00:00:00,2.9,1534.0,11.0,1013.0,190.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498,390.57142857142856,0,3
2004-03-14,1900-01-01 01:00:00,2.8,1484.0,11.9,1045.0,174.0,880.0,119.0,1624.0,1530.0,14.6,51.5,0.8536,393.796992481203,1,3
2004-03-14,1900-01-01 02:00:00,2.5,1367.0,8.6,925.0,128.0,953.0,104.0,1543.0,1337.0,12.5,58.9,0.8537,373.69924812030075,2,3
2004-03-14,1900-01-01 03:00:00,2.4,1344.0,9.7,968.0,114.57692307692308,921.0,84.52380952380952,1620.0,1278.0,11.6,63.4,0.8674,392.8045112781955,3,3
2004-03-14,1900-01-01 04:00:00,0.6875,1130.0,5.2,773.0,70.0,1130.0,82.0,1452.0,1051.0,12.1,61.1,0.8603,351.1203007518797,4,3
2004-03-14,1900-01-01 05:00:00,1.2,1062.0,3.7,691.0,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533,332.5112781954887,5,3
2004-03-14,1900-01-01 06:00:00,1.0,1076.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473,321.593984962406,6,3
2004-03-14,1900-01-01 07:00:00,0.9,1028.0,2.4,615.0,74.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853,323.3308270676692,7,3
2004-03-14,1900-01-01 08:00:00,1.4,1155.0,4.2,722.0,101.0,1225.0,84.0,1414.0,959.0,11.6,62.7,0.853,341.69172932330827,8,3
2004-03-14,1900-01-01 09:00:00,1.6,1235.0,6.4,828.0,118.0,1055.0,83.0,1527.0,1093.0,12.4,60.0,0.8627,369.7293233082707,9,3
2004-03-14,1900-01-01 10:00:00,2.2,1332.0,8.6,923.0,144.0,952.0,98.0,1614.0,1225.0,14.5,53.1,0.8728,391.3157894736842,10,3
2004-03-14,1900-01-01 11:00:00,2.8,1445.0,10.9,1009.0,176.0,878.0,114.0,1696.0,1355.0,16.9,46.1,0.8789,412.4135338345865,11,3
2004-03-14,1900-01-01 12:00:00,2.8,1416.0,10.7,1002.0,161.0,907.0,119.0,1677.0,1262.0,19.3,38.3,0.8474,407.69924812030075,12,3
2004-03-14,1900-01-01 13:00:00,2.0,1281.0,7.5,880.0,113.0,1084.0,104.0,1525.0,980.0,21.2,31.4,0.7812,369.23308270676694,13,3
2004-03-14,1900-01-01 14:00:00,1.8,1207.0,7.5,879.0,103.0,1104.0,102.0,1490.0,872.0,21.4,30.2,0.7616,360.5488721804511,14,3
2004-03-14,1900-01-01 15:00:00,1.9,1258.0,8.2,906.0,112.0,1081.0,107.0,1511.0,900.0,21.9,29.0,0.7525,365.7593984962406,15,3
2004-03-14,1900-01-01 16:00:00,3.0,1458.0,11.9,1045.0,170.0,974.0,129.0,1646.0,1099.0,22.2,28.4,0.7516,399.25563909774434,16,3
2004-03-14,1900-01-01 17:00:00,2.9,1438.0,12.0,1051.0,180.0,943.0,128.0,1668.0,1206.0,21.3,30.8,0.7696,405.4661654135338,17,3
2004-03-14,1900-01-01 18:00:00,2.5,1478.0,12.2,1055.0,160.0,929.0,121.0,1671.0,1262.0,19.7,36.7,0.8307,406.2105263157895,18,3
2004-03-14,1900-01-01 19:00:00,4.6,1808.0,20.6,1312.0,261.0,753.0,157.0,1993.0,1698.0,18.4,41.7,0.8732,486.10526315789474,19,3
2004-03-14,1900-01-01 20:00:00,5.9,1898.0,23.1,1381.0,325.0,681.0,173.0,2103.0,1905.0,17.6,46.1,0.921,65.0,20,3
2004-03-14,1900-01-01 21:00:00,3.4,1560.0,14.7,1140.0,217.0,784.0,146.0,1818.0,1648.0,16.7,49.6,0.932,442.6842105263158,21,3
2004-03-14,1900-01-01 22:00:00,2.1,1324.0,9.0,940.0,146.0,924.0,121.0,1587.0,1423.0,16.3,51.0,0.9341,384.61654135338347,22,3
2004-03-14,1900-01-01 23:00:00,2.2,1349.0,8.8,933.0,152.0,933.0,119.0,1617.0,1349.0,14.7,55.9,0.9314,392.0601503759398,23,3
2004-03-15,1900-01-01 00:00:00,1.8,1239.0,7.4,872.0,104.0,985.0,99.0,1547.0,1250.0,14.8,54.7,0.9164,374.69172932330827,0,3
2004-03-15,1900-01-01 01:00:00,1.8,1239.0,6.9,853.0,106.0,1010.0,93.0,1543.0,1174.0,14.0,57.0,0.9094,373.69924812030075,1,3
2004-03-15,1900-01-01 02:00:00,1.8,1224.0,7.0,855.0,108.0,998.0,88.0,1566.0,1149.0,13.4,61.3,0.9361,379.406015037594,2,3
2004-03-15,1900-01-01 03:00:00,1.1,1078.0,4.4,734.0,114.57692307692308,1128.0,84.52380952380952,1487.0,1021.0,12.6,63.5,0.923,359.8045112781955,3,3
2004-03-15,1900-01-01 04:00:00,0.6875,1078.0,4.0,711.0,66.0,1150.0,71.0,1468.0,1013.0,12.3,65.4,0.9351,355.09022556390977,4,3
2004-03-15,1900-01-01 05:00:00,1.0,1075.0,3.9,703.0,88.0,1156.0,74.0,1464.0,1010.0,11.9,67.4,0.9375,354.09774436090225,5,3
2004-03-15,1900-01-01 06:00:00,1.4,1157.0,6.4,830.0,138.0,1030.0,80.0,1584.0,1083.0,11.4,70.5,0.9475,383.8721804511278,6,3
2004-03-15,1900-01-01 07:00:00,2.2,1314.0,9.7,966.0,228.0,897.0,89.0,1710.0,1235.0,11.3,70.2,0.9401,415.8872180451128,7,3
2004-03-15,1900-01-01 08:00:00,5.5,1797.0,25.9,1451.0,360.0,652.0,114.0,2323.0,1680.0,12.4,63.9,0.917,61.0,8,3
2004-03-15,1900-01-01 09:00:00,8.1,1961.0,36.7,1701.0,478.0,537.0,149.0,2665.0,2184.0,14.8,54.3,0.9076,87.0,9,3
2004-03-15,1900-01-01 10:00:00,5.8,1771.0,26.6,1470.0,394.0,622.0,157.0,2262.0,1973.0,17.4,45.6,0.8993,64.0,10,3
2004-03-15,1900-01-01 11:00:00,4.2,1564.0,20.1,1300.0,319.0,710.0,155.0,2029.0,1798.0,19.8,38.5,0.8801,495.0375939849624,11,3
2004-03-15,1900-01-01 12:00:00,3.1,1430.0,14.1,1120.0,201.0,831.0,134.0,1783.0,1522.0,22.0,34.1,0.8904,434.0,12,3
2004-03-15,1900-01-01 13:00:00,2.9,1417.0,14.9,1146.0,171.0,830.0,119.0,1831.0,1404.0,23.3,32.2,0.9096,445.90977443609023,13,3
2004-03-15,1900-01-01 14:00:00,2.9,1400.0,15.4,1162.0,159.0,838.0,111.0,1829.0,1263.0,23.9,30.0,0.8757,445.4135338345865,14,3
2004-03-15,1900-01-01 15:00:00,2.5,1317.0,12.1,1053.0,153.0,926.0,104.0,1707.0,1137.0,24.4,28.9,0.8736,415.14285714285717,15,3
2004-03-15,1900-01-01 16:00:00,2.3,1318.0,11.5,1033.0,143.0,950.0,99.0,1675.0,1068.0,24.4,29.4,0.8848,407.203007518797,16,3
2004-03-15,1900-01-01 17:00:00,2.8,1445.0,14.8,1141.0,156.0,857.0,110.0,1824.0,1252.0,23.8,31.3,0.9137,444.17293233082705,17,3
2004-03-15,1900-01-01 18:00:00,6.1,1917.0,32.1,1601.0,314.0,631.0,162.0,2447.0,1843.0,22.5,35.4,0.9547,67.0,18,3
2004-03-15,1900-01-01 19:00:00,8.0,2040.0,39.2,1754.0,404.0,542.0,187.0,2679.0,2122.0,20.4,42.5,1.0086,86.0,19,3
2004-03-15,1900-01-01 20:00:00,6.5,1895.0,31.0,1573.0,320.0,565.0,165.0,2443.0,1992.0,18.3,52.6,1.0945,71.0,20,3
2004-03-15,1900-01-01 21:00:00,4.2,1595.0,19.9,1294.0,256.0,678.0,145.0,2058.0,1707.0,16.7,57.4,1.0786,47.72727272727273,21,3
2004-03-15,1900-01-01 22:00:00,3.2,1439.0,15.3,1159.0,193.0,764.0,125.0,1856.0,1494.0,15.7,60.2,1.0654,452.1127819548872,22,3
2004-03-15,1900-01-01 23:00:00,1.4,1142.0,6.9,852.0,89.0,1008.0,101.0,1547.0,1164.0,15.3,61.4,1.058,374.69172932330827,23,3
2004-03-16,1900-01-01 00:00:00,2.1,1304.0,11.1,1019.0,127.0,852.0,103.0,1731.0,1272.0,14.1,65.7,1.0494,421.09774436090225,0,3
2004-03-16,1900-01-01 01:00:00,1.2,1074.0,5.4,784.0,79.0,1098.0,88.0,1483.0,1040.0,14.8,60.6,1.0148,358.812030075188,1,3
2004-03-16,1900-01-01 02:00:00,0.8,968.0,2.8,640.0,43.0,1320.0,61.0,1386.0,867.0,14.8,59.2,0.9879,334.7443609022556,2,3
2004-03-16,1900-01-01 03:00:00,0.7,929.0,2.3,608.0,114.57692307692308,1376.0,84.52380952380952,1364.0,826.0,13.6,62.1,0.9636,329.2857142857143,3,3
2004-03-16,1900-01-01 04:00:00,0.6875,941.0,2.6,626.0,59.0,1316.0,59.0,1373.0,840.0,12.3,66.2,0.945,331.5187969924812,4,3
2004-03-16,1900-01-01 05:00:00,0.6,937.0,2.0,585.0,38.0,1412.0,52.0,1348.0,793.0,12.8,63.2,0.9283,325.3157894736842,5,3
2004-03-16,1900-01-01 06:00:00,0.9,1017.0,3.5,681.0,82.0,1246.0,64.0,1418.0,870.0,11.2,68.5,0.9081,342.6842105263158,6,3
2004-03-16,1900-01-01 07:00:00,1.3,1171.0,5.1,770.0,99.0,1162.0,70.0,1467.0,930.0,11.0,66.5,0.8705,354.8421052631579,7,3
2004-03-16,1900-01-01 08:00:00,3.4,1541.0,16.2,1185.0,263.0,770.0,97.0,1889.0,1407.0,11.7,63.7,0.8719,460.30075187969925,8,3
2004-03-16,1900-01-01 09:00:00,3.7,1539.0,19.7,1287.0,229.0,698.0,95.0,2055.0,1507.0,13.6,56.3,0.8743,42.04545454545455,9,3
2004-03-16,1900-01-01 10:00:00,5.3,1735.0,25.1,1431.0,396.0,628.0,150.0,2211.0,1843.0,17.8,42.9,0.8672,59.0,10,3
2004-03-16,1900-01-01 11:00:00,4.1,1571.0,20.0,1297.0,314.0,730.0,162.0,1973.0,1729.0,21.4,33.3,0.8417,481.1428571428571,11,3
2004-03-16,1900-01-01 12:00:00,3.3,1452.0,18.3,1250.0,217.0,776.0,154.0,1868.0,1583.0,24.4,27.4,0.8231,455.09022556390977,12,3
2004-03-16,1900-01-01 13:00:00,4.0,1579.0,22.3,1359.0,252.0,724.0,161.0,1998.0,1671.0,25.3,26.1,0.8264,487.3458646616541,13,3
2004-03-16,1900-01-01 14:00:00,3.8,1466.0,20.4,1309.0,263.0,773.0,161.0,1897.0,1491.0,25.8,23.2,0.7589,462.2857142857143,14,3
2004-03-16,1900-01-01 15:00:00,2.8,1280.0,14.6,1136.0,180.0,893.0,128.0,1675.0,1240.0,27.0,20.2,0.7094,407.203007518797,15,3
2004-03-16,1900-01-01 16:00:00,2.9,1407.0,16.6,1197.0,184.0,905.0,129.0,1759.0,1313.0,28.2,18.6,0.7014,428.0451127819549,16,3
2004-03-16,1900-01-01 17:00:00,2.9,1389.0,15.8,1173.0,190.0,898.0,133.0,1739.0,1363.0,28.0,19.1,0.7098,423.0827067669173,17,3
2004-03-16,1900-01-01 18:00:00,3.4,1447.0,17.8,1235.0,184.0,859.0,139.0,1778.0,1296.0,23.9,25.7,0.7519,432.7593984962406,18,3
2004-03-16,1900-01-01 19:00:00,3.9,1551.0,19.1,1271.0,181.0,800.0,137.0,1875.0,1432.0,21.3,34.8,0.873,456.82706766917295,19,3
2004-03-16,1900-01-01 20:00:00,3.2,1474.0,15.8,1173.0,166.0,854.0,143.0,1776.0,1432.0,20.4,36.7,0.8704,432.2631578947368,20,3
2004-03-16,1900-01-01 21:00:00,5.1,1800.0,24.9,1426.0,317.0,700.0,177.0,2106.0,2034.0,19.0,41.3,0.9007,57.0,21,3
2004-03-16,1900-01-01 22:00:00,2.6,1379.0,13.5,1101.0,184.0,818.0,138.0,1710.0,1602.0,17.9,45.9,0.9342,415.8872180451128,22,3
2004-03-16,1900-01-01 23:00:00,1.7,1201.0,9.1,943.0,130.0,935.0,117.0,1560.0,1362.0,16.7,48.9,0.9226,377.9172932330827,23,3
2004-03-17,1900-01-01 00:00:00,1.7,1205.0,8.6,925.0,132.0,922.0,107.0,1547.0,1314.0,15.5,52.9,0.9271,374.69172932330827,0,3
2004-03-17,1900-01-01 01:00:00,1.2,1072.0,5.4,784.0,95.0,1066.0,90.0,1442.0,1114.0,15.5,51.9,0.9059,348.6390977443609,1,3
2004-03-17,1900-01-01 02:00:00,0.9,998.0,4.1,714.0,70.0,1169.0,79.0,1383.0,992.0,14.1,55.6,0.891,334.0,2,3
2004-03-17,1900-01-01 03:00:00,0.7,933.0,2.6,625.0,114.57692307692308,1292.0,84.52380952380952,1332.0,884.0,13.1,57.9,0.8666,321.3458646616541,3,3
2004-03-17,1900-01-01 04:00:00,0.6875,883.0,1.9,577.0,54.0,1396.0,60.0,1303.0,808.0,12.7,57.9,0.8447,314.1503759398496,4,3
2004-03-17,1900-01-01 05:00:00,0.5,869.0,1.6,554.0,28.0,1460.0,40.0,1268.0,667.0,11.8,58.0,0.8026,305.4661654135338,5,3
2004-03-17,1900-01-01 06:00:00,0.5,891.0,1.9,576.0,46.0,1417.0,53.0,1289.0,733.0,11.9,57.4,0.7978,310.6766917293233,6,3
2004-03-17,1900-01-01 07:00:00,1.6,1173.0,7.5,878.0,160.0,1038.0,84.0,1556.0,1052.0,9.9,65.2,0.7956,376.9248120300752,7,3
2004-03-17,1900-01-01 08:00:00,4.1,1587.0,21.4,1334.0,320.0,702.0,108.0,1999.0,1534.0,11.1,60.2,0.7958,487.593984962406,8,3
2004-03-17,1900-01-01 09:00:00,6.6,1852.0,36.4,1696.0,377.0,553.0,127.0,2535.0,1931.0,14.1,50.0,0.802,72.0,9,3
2004-03-17,1900-01-01 10:00:00,4.3,1522.0,21.3,1331.0,280.0,703.0,134.0,2026.0,1734.0,17.7,40.1,0.8048,494.29323308270676,10,3
2004-03-17,1900-01-01 11:00:00,2.9,1438.0,15.4,1161.0,221.0,819.0,135.0,1782.0,1595.0,21.1,33.4,0.8265,433.7518796992481,11,3
2004-03-17,1900-01-01 12:00:00,2.5,1393.0,12.5,1067.0,210.0,905.0,142.0,1654.0,1490.0,24.3,28.3,0.8471,401.9924812030075,12,3
